Txn ID,TimeStamp,Gender of Buyer,Shipment Attribution,Barcode,Selling Price,Quantity
T0001,2024-02-12 17:00,Male,240425EA,9792841352355,76.22,3
T0001,2024-02-12 17:00,Male,240429BA,1530281751828,173.93,2
T0001,2024-02-12 17:00,Male,241028CB,8068700962471,296.8,3
T0002,2024-10-10 17:54,Male,241104DA,1319495204239,433.84,1
T0002,2024-10-10 17:54,Male,240127EB,6874779065864,393.97,1
T0003,2024-04-12 19:54,Male,240423EB,3046223091366,355.95,1
T0004,2024-07-09 11:19,Female,240306DA,2646305542863,82.55,4
T0004,2024-07-09 11:19,Female,240714CC,7538675410397,220.08,4
T0004,2024-07-09 11:19,Female,240322EA,6400454451965,392.46,4
T0005,2024-07-25 17:20,Female,241213EC,7534112261015,292.46,5
T0006,2024-06-03 17:10,Male,241122AE,2168494776151,293.77,4
T0006,2024-06-03 17:10,Male,240702CE,1530281751828,165.88,4
T0006,2024-06-03 17:10,Male,240823AD,5573515979800,275.42,3
T0007,2024-02-05 17:21,Female,240116BA,5723787941699,284.01,4
T0007,2024-02-05 17:21,Female,240721CA,5656234314111,485.78,3
T0007,2024-02-05 17:21,Female,240520DA,7534112261015,271.83,2
T0007,2024-02-05 17:21,Female,240708BC,9320526500374,205.44,2
T0008,2024-07-19 21:41,Male,241027CA,7193208938982,73.5,5
T0008,2024-07-19 21:41,Male,240328AC,7909647285748,417.7,1
T0009,2024-05-20 16:57,Female,240414BA,4887387328514,55.29,1
T0009,2024-05-20 16:57,Female,240603DC,1319495204239,442.0,4
T0009,2024-05-20 16:57,Female,240203AE,1366803933780,209.42,4
T0010,2024-06-21 16:33,Female,241219EA,9679955033493,30.56,4
T0010,2024-06-21 16:33,Female,240229DD,9320526500374,211.68,3
T0010,2024-06-21 16:33,Female,241129AA,9471443645365,466.76,1
T0011,2024-06-05 17:14,Female,241129CB,2646305542863,75.77,1
T0012,2024-09-13 17:36,Female,240613EA,1489716693439,372.73,5
T0012,2024-09-13 17:36,Female,240726DA,3922480347697,333.89,5
T0013,2024-05-16 14:55,Female,240421AA,7784851719923,20.44,5
T0013,2024-05-16 14:55,Female,241128EB,7009664627837,287.86,3
T0013,2024-05-16 14:55,Female,240921EA,1374644357806,192.8,5
T0013,2024-05-16 14:55,Female,240323BC,2081796341037,201.75,5
T0014,2024-03-19 20:39,Female,241202DA,1885386949733,54.63,1
T0014,2024-03-19 20:39,Female,241202BB,1530281751828,165.67,2
T0014,2024-03-19 20:39,Female,240517BC,8295015923248,427.28,4
T0014,2024-03-19 20:39,Female,240714DC,9679955033493,29.61,5
T0014,2024-03-19 20:39,Female,240814EA,2168494776151,285.41,3
T0014,2024-03-19 20:39,Female,240613EC,5112203895591,92.29,4
T0015,2024-04-15 21:56,Male,240805ED,2668380592920,394.05,4
T0015,2024-04-15 21:56,Male,240418DE,7417081143053,45.71,4
T0015,2024-04-15 21:56,Male,240914CA,5966087203573,450.09,5
T0015,2024-04-15 21:56,Male,240630BB,3442852944505,227.51,2
T0015,2024-04-15 21:56,Male,240630BB,3442852944505,229.79,1
T0016,2024-04-25 16:44,Male,240915BA,8118777908898,27.09,3
T0016,2024-04-25 16:44,Male,240112EB,7118631998839,105.95,2
T0017,2024-10-02 20:52,Male,240206DB,7111402598169,238.72,1
T0017,2024-10-02 20:52,Male,240527BD,8493556002921,393.99,1
T0018,2024-11-29 18:55,Female,241122EA,7009664627837,249.62,1
T0018,2024-11-29 18:55,Female,240427DE,9341222702392,169.99,3
T0019,2024-10-18 17:00,Female,241101CB,9099746266551,444.77,5
T0019,2024-10-18 17:00,Female,240711AA,5573515979800,258.05,2
T0019,2024-10-18 17:00,Female,240715AC,7534112261015,287.45,1
T0019,2024-10-18 17:00,Female,240414BA,4887387328514,55.97,1
T0019,2024-10-18 17:00,Female,240321BD,7111402598169,228.77,2
T0019,2024-10-18 17:00,Female,240504EA,7909647285748,434.12,5
T0020,2024-11-20 16:39,Female,240827BE,7009664627837,266.89,1
T0020,2024-11-20 16:39,Female,240218AC,8295015923248,422.73,4
T0021,2024-06-13 19:38,Male,240818AD,9341222702392,202.43,1
T0021,2024-06-13 19:38,Male,241020DA,8295015923248,454.38,1
T0022,2024-04-11 16:47,Female,241129CE,4651387619190,165.93,2
T0022,2024-04-11 16:47,Female,240415EC,6768130244551,412.91,2
T0022,2024-04-11 16:47,Female,241202DE,9099746266551,425.5,4
T0022,2024-04-11 16:47,Female,240127DC,8493556002921,380.91,1
T0022,2024-04-11 16:47,Female,240908DB,6079913241894,445.74,4
T0022,2024-04-11 16:47,Female,241029CD,6373646879188,270.23,1
T0022,2024-04-11 16:47,Female,240724EB,1110475018705,77.49,2
T0022,2024-04-11 16:47,Female,240716EA,7442652072221,309.48,2
T0022,2024-04-11 16:47,Female,240610AA,7417081143053,43.16,4
T0023,2024-04-18 13:03,Female,240702DB,2676489428461,54.11,5
T0024,2024-06-07 21:01,Female,241222CA,8068700962471,305.22,2
T0024,2024-06-07 21:01,Female,240818DB,7909647285748,392.74,5
T0024,2024-06-07 21:01,Female,240420CA,7538675410397,219.67,2
T0024,2024-06-07 21:01,Female,241102CA,7417081143053,43.34,4
T0024,2024-06-07 21:01,Female,240522DA,4651387619190,170.08,1
T0024,2024-06-07 21:01,Female,240127CD,7538675410397,219.49,2
T0024,2024-06-07 21:01,Female,240529EA,6768130244551,391.43,2
T0024,2024-06-07 21:01,Female,240802EC,1530281751828,166.56,3
T0024,2024-06-07 21:01,Female,240724EB,3019733334840,149.47,3
T0025,2024-07-01 14:36,Female,240211CA,4852979716602,48.09,4
T0025,2024-07-01 14:36,Female,240411DB,8986011122048,146.36,5
T0025,2024-07-01 14:36,Female,240510AB,1366803933780,212.81,4
T0025,2024-07-01 14:36,Female,240520AC,3046223091366,339.65,1
T0025,2024-07-01 14:36,Female,240301ED,4799124724315,172.45,3
T0026,2024-01-22 17:33,Female,241109EB,8650517934553,348.41,1
T0026,2024-01-22 17:33,Female,241026CA,1366803933780,217.13,1
T0027,2024-11-21 11:56,Male,240903CA,7111402598169,235.2,5
T0028,2024-04-23 16:38,Male,240320CD,5573515979800,258.92,4
T0028,2024-04-23 16:38,Male,240912CB,9550889811760,434.23,3
T0028,2024-04-23 16:38,Male,240821CA,5112203895591,83.77,4
T0029,2024-02-08 14:57,Female,240928BA,9133603908014,323.63,1
T0029,2024-02-08 14:57,Female,240730DC,4887387328514,55.27,2
T0029,2024-02-08 14:57,Female,240320EC,3801660182303,323.91,2
T0030,2024-08-12 20:49,Female,241004AA,6400454451965,404.82,1
T0030,2024-08-12 20:49,Female,241109EA,2005707746631,469.01,1
T0030,2024-08-12 20:49,Female,240116DA,7909647285748,433.68,1
T0030,2024-08-12 20:49,Female,240705EC,5334981206381,298.14,2
T0031,2024-08-12 11:38,Female,241105BA,9099746266551,431.5,4
T0031,2024-08-12 11:38,Female,240510AA,2168494776151,289.71,5
T0031,2024-08-12 11:38,Female,240402BA,4799124724315,172.64,1
T0031,2024-08-12 11:38,Female,241230CA,2168494776151,303.86,4
T0031,2024-08-12 11:38,Female,240702CA,3922480347697,313.04,1
T0031,2024-08-12 11:38,Female,240729BB,6400454451965,414.62,3
T0032,2024-07-09 17:23,Male,240203DB,6079913241894,475.41,3
T0032,2024-07-09 17:23,Male,241129DD,7784851719923,20.64,5
T0033,2024-04-20 17:59,Female,240114EB,5966087203573,465.58,5
T0033,2024-04-20 17:59,Female,240620BD,2005707746631,447.24,4
T0033,2024-04-20 17:59,Female,240824AD,4651387619190,166.9,3
T0033,2024-04-20 17:59,Female,240822BA,7477584351590,273.88,1
T0033,2024-04-20 17:59,Female,240415EA,7417081143053,40.68,1
T0034,2024-10-13 14:43,Female,240104EC,9471443645365,460.77,1
T0034,2024-10-13 14:43,Female,240331CB,3019733334840,145.36,1
T0034,2024-10-13 14:43,Female,240426CA,3801660182303,328.74,2
T0034,2024-10-13 14:43,Female,240112CB,7477584351590,250.9,4
T0035,2024-08-08 21:43,Male,240604CA,3019733334840,152.9,4
T0035,2024-08-08 21:43,Male,241008DC,2974785865598,299.95,4
T0035,2024-08-08 21:43,Male,240606BA,1319495204239,452.94,4
T0036,2024-01-23 18:58,Female,240221AA,8295015923248,435.19,1
T0036,2024-01-23 18:58,Female,240627EA,2764870889303,484.95,1
T0036,2024-01-23 18:58,Female,240503DA,7118631998839,106.87,2
T0036,2024-01-23 18:58,Female,241102CC,9679955033493,29.11,3
