Shipment Attribution,Barcode,Quantity Remaining,MRP,Cost Price,Minimum Price,Shelf Score,Date of Shelving,Expiry Date
240721CA,5656234314111,377,497.03,414.69,435.4245,0.7013018751144409,2024-07-21,2025-05-17
240721CB,4852979716602,377,53.02,41.58,43.659,0.9921875,2024-07-21,2024-09-10
240721CC,9550889811760,108,480.18,358.41,376.33050000000003,0.8145416595123627,2024-07-21,2025-10-19
240721CD,9366403560281,400,398.69,332.55,349.1775,0.9479451497395833,2024-07-21,2025-03-18
240615AA,9133603908014,318,348.85,305.57,320.8485,0.9553338609090666,2024-06-15,2026-04-02
240615AB,7417081143053,22,46.68,41.01,43.0605,0.7057115215144745,2024-06-15,2025-04-03
240615AC,8986011122048,252,148.61,130.25,136.76250000000002,0.0,2024-06-15,2024-04-19
240821CA,6874779065864,185,413.01,275.81,289.6005,0.0,2024-08-21,2024-06-17
240821CB,7438552944490,328,215.26,188.15,197.5575,0.999182724371189,2024-08-21,2025-12-26
240821CC,1904792486473,394,485.11,318.6,334.53000000000003,0.724681712962963,2024-08-21,2024-09-17
240329AA,3000161243260,59,242.45,168.84,177.282,0.5469308810763889,2024-03-29,2024-11-09
240329AB,9882839546088,342,245.8,196.8,206.64000000000001,0.9109319968301741,2024-03-29,2025-01-28
240329AC,6874779065864,482,413.01,274.31,288.0255,0.0,2024-03-29,2024-01-06
240415DA,5334981206381,434,328.76,205.72,216.006,0.7828085408408261,2024-04-15,2026-02-20
240602EA,7538675410397,50,220.23,148.94,156.387,0.7271695788440808,2024-06-02,2025-06-03
240602EB,4651387619190,374,181.26,157.93,165.8265,0.98984375,2024-06-02,2024-06-07
240916CA,5656234314111,54,497.03,429.28,450.74399999999997,0.9276010613692434,2024-09-16,2024-10-24
240916CB,1530281751828,398,174.5,148.97,156.4185,0.9783350773629426,2024-09-16,2025-03-08
240916CC,8068700962471,149,308.95,189.55,199.02750000000003,0.915274505298662,2024-09-16,2025-05-15
240517AA,8562587170545,356,327.95,206.51,216.8355,0.0,2024-05-17,2024-03-07
240517BA,5756935329189,385,412.49,272.03,285.63149999999996,0.8368668596737783,2024-05-17,2025-05-05
240517BB,5723787941699,266,292.84,215.11,225.86550000000003,0.9833647551359954,2024-05-17,2025-06-26
240517BC,8295015923248,234,460.74,348.82,366.261,0.6188701137848431,2024-05-17,2025-02-28
240504AA,7118631998839,91,114.2,79.31,83.27550000000001,0.5137724572799626,2024-05-04,2025-01-26
240818CA,7442652072221,130,325.21,197.9,207.79500000000002,0.8326146091171618,2024-08-18,2025-06-17
240809CA,7009664627837,107,292.8,194.83,204.57150000000001,0.9386037935086382,2024-08-09,2026-04-16
241008DA,7784851719923,196,21.64,17.22,18.081,0.9996418200041118,2024-10-08,2025-04-16
241008DB,2764870889303,240,485.66,338.35,355.26750000000004,0.9695581363726267,2024-10-08,2025-08-20
241008DC,7111402598169,421,253.79,188.76,198.198,0.8419762053579655,2024-10-08,2025-06-30
241106DA,9471443645365,448,492.25,421.68,442.764,0.790848055752841,2024-11-06,2024-12-31
240306DA,2646305542863,92,83.69,66.72,70.056,0.6697194727019906,2024-03-06,2025-05-07
240306DB,3046223091366,71,373.29,321.66,337.74300000000005,0.7092553341027462,2024-03-06,2025-01-30
240306DC,4243802214885,462,321.05,265.17,278.42850000000004,0.4814772959879912,2024-03-06,2024-10-21
240306DD,9133603908014,249,348.85,253.66,266.343,0.5596367453231292,2024-03-06,2025-05-21
240306DE,3922480347697,232,341.62,230.1,241.60500000000002,0.5178810617198115,2024-03-06,2025-03-09
240220CA,7193208938982,151,75.87,51.32,53.886,0.669236358882874,2024-02-20,2025-11-16
240220CB,8562587170545,84,327.95,239.88,251.874,0.0,2024-02-20,2024-01-12
240705EA,1530281751828,213,174.5,111.78,117.369,0.8328885028236791,2024-07-05,2024-12-04
240705EB,3801660182303,395,355.28,288.01,302.4105,0.8385425806045532,2024-07-05,2025-03-18
240705EC,5334981206381,241,328.76,198.51,208.4355,0.8906335751872417,2024-07-05,2024-11-03
240705ED,1887140245119,187,47.43,39.53,41.5065,0.9475128957434109,2024-07-05,2025-09-21
240705EE,2005707746631,139,488.48,361.67,379.75350000000003,0.9688450495402018,2024-07-05,2025-07-24
240914CA,3000161243260,214,242.45,150.7,158.23499999999999,0.9363139343261718,2024-09-14,2025-07-11
240324BA,1374644357806,273,202.07,139.18,146.139,0.8415671197653619,2024-03-24,2025-01-15
241026DA,1110475018705,449,83.67,54.36,57.078,0.0,2024-10-26,2024-09-26
241026DB,1366803933780,99,220.48,157.6,165.48,0.9999400048642545,2024-10-26,2025-04-29
241026DC,6079913241894,286,479.81,293.44,308.112,0.9926051089638158,2024-10-26,2025-01-10
241004AA,4266329572283,1,494.87,404.29,424.50450000000006,0.9911718368530273,2024-10-04,2024-12-28
241218AA,3442852944505,158,240.4,148.96,156.40800000000002,0.9999923706054688,2024-12-18,2025-01-22
241218AB,8295015923248,306,460.74,336.28,353.094,0.9999990463256836,2024-12-18,2025-05-14
241218AC,8952577124826,240,112.68,97.91,102.8055,0.9998779296875,2024-12-18,2025-08-12
241218AD,7009664627837,234,292.8,222.61,233.74050000000003,0.9996861049107143,2024-12-18,2025-04-09
240203BA,9792841352355,200,76.59,60.55,63.5775,0.7015723358812951,2024-02-03,2024-11-07
240203BB,4264705587768,319,305.69,273.29,286.95450000000005,0.6913386784856845,2024-02-03,2026-01-01
240203BC,8493556002921,54,403.34,266.85,280.19250000000005,0.41842234460382516,2024-02-03,2024-08-04
240203BD,3442852944505,180,240.4,163.74,171.92700000000002,0.4411934916178385,2024-02-03,2024-11-29
240203BE,2676489428461,141,56.63,50.33,52.8465,0.36802288958134544,2024-02-03,2024-10-22
240506CA,7784851719923,174,21.64,18.18,19.089000000000002,0.8707565431170136,2024-05-06,2025-01-08
240530BA,1110475018705,167,83.67,52.11,54.7155,0.7312531424040841,2024-05-30,2025-10-17
240530BB,5756935329189,160,412.49,278.28,292.19399999999996,0.8818169135551948,2024-05-30,2024-08-15
